title,Lexile
The Hunger Games,810L
Harry Potter and the Order of the Phoenix,950L
The Book Thief,730L
Memoirs of a Geisha,1000L
Anne of Green Gables,590L
The Princess Bride,870L
The Lightning Thief,680L
The Secret Garden,760L
A Game of Thrones,830L
Green Eggs and Ham,210L
The Stand,840L
Harry Potter and the Deathly Hallows,880L
Matilda,840L
A Tree Grows in Brooklyn,810L
The Brothers Karamazov,970L
Harry Potter and the Prisoner of Azkaban,880L
Winnie-the-Pooh,790L
The Complete Stories and Poems,1310L
Clockwork Angel,780L
And Then There Were None,570L
The Name of the Wind,
The Shining,840L
Charlie and the Chocolate Factory,490L
Fight Club,
The Count of Monte Cristo,1080L
Watchmen,
The Last Olympian,620L
"The Hobbit, or There and Back Again",1000L
Shadow Kiss,HL660L
The Ultimate Hitchhiker's Guide to the Galaxy,
The Importance of Being Earnest,
Blood Promise,700L
Clockwork Princess,840L
The Titan's Curse,630L
The Sea of Monsters,680L
"Oh, the Places You'll Go!",AD600L
The Girl Who Played with Fire,
A Storm of Swords,
"Murder on the Orient Express	",640L
A Little Princess,320L
Last Sacrifice,HL690L
The Velveteen Rabbit,540L
Catching Fire,820L
The Lost Hero,660L
Spirit Bound,HL730L
Cat's Cradle,790L
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,
A Light in the Attic,
Man's Search for Meaning,1300L
Marley and Me: Life and Love With the World's Worst Dog,990L
A Clash of Kings,
The Guernsey Literary and Potato Peel Pie Society,930L
Misery,640L
Howl's Moving Castle,800L
I Know This Much Is True,
Neverwhere,760L
Kafka on the Shore,
City of Lost Souls,HL740L
The Wise Man's Fear,
The Son of Neptune,640L
Fried Green Tomatoes at the Whistle Stop Café,940L
Ready Player One,970L
"Stardust	970L",970L
Number the Stars,670L
Me Before You,HL810L
The Art of Racing in the Rain,850L
V for Vendetta,
The Witches,590L
The Tell-Tale Heart and Other Writings,1350L
The Martian Chronicles,740L
East of Eden,600L
The Martian,HL680L
The Firm,630L
Dragonfly in Amber,
The BFG,520L
Six of Crows,HL790L
City of Heavenly Fire,HL770L
A Feast for Crows,
"Unbroken: A World War II Story of Survival, Resilience and Redemption",
All the Light We Cannot See,880L
Redeeming Love,
The Voyage of the Dawn Treader,970L
Crown of Midnight,840L
I Know Why the Caged Bird Sings,860L
"I, Robot",820L
Voyager,
Heir of Fire,910L
Aristotle and Dante Discover the Secrets of the Universe,HL380L
City of Glass,HL760L
2001: A Space Odyssey,850L
Sarah's Key,HL610L
The Polar Express,520L
The Return of the King,920L
Into Thin Air: A Personal Account of the Mount Everest Disaster,
Dead to the World,
Cutting for Stone,
Drums of Autumn,
Queen of Shadows,830L
"Little House in the Big Woods	",930L
Speaker for the Dead,850L
A Monster Calls,730L
The Two Towers,810L
Words of Radiance,HL680L
A Brief History of Time,1290L
Scarlet,810L
Assassin's Apprentice,1020L
Cress,840L
Prodigy,780L
City of Ashes,HL720L
The Nightingale,HL740L
The Namesake,1140L
The Hero of Ages,HL750L
Still Alice,860L
The Hate U Give,HL590L
On Writing: A Memoir of the Craft,1110L
Reflected in You,
The Blood of Olympus,690L
Dead as a Doornail,
The Glass Castle,1010L
"The Lucky One	",HL780L
Where the Heart Is,860L
A Walk in the Woods: Rediscovering America on the Appalachian Trail,1210L
A Court of Wings and Ruin,HL760L
The Drawing of the Three,850L
A Study in Scarlet,830L
The Client,440L
A Darker Shade of Magic,840L
Outliers: The Story of Success,1080L
And the Mountains Echoed,
The Dragon Reborn,
The Pelican Brief,590L
Fall of Giants,
A Man Called Ove,870L
The Great Hunt,HL750L
Educated,870L
Big Little Lies,
The Light Between Oceans,
The Rosie Project,
Circe,HL660L
Eleanor Oliphant Is Completely Fine,
The Seven Husbands of Evelyn Hugo,
The Kitchen House,
Dark Matter,590L
P.S. I Still Love You,HL640L
Along Came a Spider,600L
The Silent Patient,
A Gentleman in Moscow,
Between the World and Me,1090L
Daisy Jones & The Six,
Hotel on the Corner of Bitter and Sweet,850L
"Little Fires Everywhere	",1000L
What Alice Forgot,
Before We Were Yours,HL760L
The Invention of Wings,
The Power of Habit: Why We Do What We Do in Life and Business,1150L
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,1000L
Dress Your Family in Corduroy and Denim,
The Alice Network,HL820L
Kitchen Confidential: Adventures in the Culinary Underbelly,
The Silkworm,970L
Then She Was Gone,HL760L
Lilac Girls,
The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion,
The Way of Kings,
